approach;total_size;partition;partition_size
Feature;821;trace:payment_actual0@6000.0;1204
Feature;821;trace:number_parcels@10.0;5000
Feature;821;event:concept:name@check;6386
Feature;821;event:org:resource@d8639c;612
Feature;821;trace:number_parcels@5.0;7300
Feature;821;trace:department@4e;13639
Feature;821;event:org:resource@8beb64;4886
Feature;821;event:org:resource@ea52aa;1196
Feature;821;trace:young farmer@True;3554
Feature;821;trace:amount_applied0@43000.0;300
Feature;821;trace:area@133.0;100
Feature;821;trace:payment_actual0@43000.0;277
Feature;821;trace:number_parcels@20.0;3700
Feature;821;event:concept:name@remove document;2995
Feature;821;event:org:resource@51d239;624
Feature;821;event:subprocess@Change;4740
Feature;821;trace:amount_applied0@19000.0;800
Feature;821;trace:area@59.0;300
Feature;821;trace:payment_actual0@19000.0;761
Feature;821;event:org:resource@7b9b55;1133
Feature;821;trace:area@17.0;300
Feature;821;trace:payment_actual0@5000.0;1234
Feature;821;trace:department@6b;11256
Feature;821;event:org:resource@155add;7318
Feature;821;event:org:resource@4fac6d;3792
Feature;821;event:org:resource@c966f4;1026
Feature;821;event:org:resource@fa68d2;807
Feature;821;trace:amount_applied0@2000.0;3100
Feature;821;trace:area@8.0;900
Feature;821;trace:payment_actual0@2000.0;2959
Feature;821;trace:area@6.0;1100
Feature;821;event:org:resource@4298e3;7470
Feature;821;trace:amount_applied0@40000.0;300
Feature;821;trace:payment_actual0@40000.0;314
Feature;821;trace:number_parcels@25.0;2900
Feature;821;event:org:resource@28b6bf;1257
Feature;821;event:org:resource@425ee3;550
Feature;821;event:org:resource@83c7b7;859
Feature;821;trace:penalty_C4@True;348
Feature;821;event:org:resource@059abc;320
Feature;821;event:org:resource@7fb8a5;1579
Feature;821;event:org:resource@97d224;6756
Feature;821;trace:amount_applied0@1000.0;4500
Feature;821;trace:area@4.0;1600
Feature;821;trace:payment_actual0@1000.0;4563
Feature;821;trace:area@1.0;1900
Feature;821;trace:amount_applied0@8000.0;900
Feature;821;trace:area@24.0;300
Feature;821;trace:payment_actual0@8000.0;876
Feature;821;event:org:resource@6f6a4e;483
Feature;821;event:org:resource@44798d;1341
Feature;821;event:org:resource@7d03a0;791
Feature;821;event:org:resource@ad25fc;1223
Feature;821;event:org:resource@b33ed5;393
Feature;821;trace:selected_random@True;2697
Feature;821;trace:selected_risk@True;1807
Feature;821;trace:area@3.0;1700
Feature;821;event:concept:name@abort external;2248
Feature;821;event:concept:name@begin preparations;3039
Feature;821;event:concept:name@finish preparations;3040
Feature;821;event:concept:name@plan;3044
Feature;821;event:concept:name@prepare external;2251
Feature;821;event:org:resource@Inspection automaton;2817
Feature;821;event:org:resource@Remote inspection export;2245
Feature;821;event:org:resource@Remote inspection import;2249
Feature;821;event:org:resource@dee71b;1366
Feature;821;event:doctype@Inspection;3044
Feature;821;event:subprocess@Remote;2249
Feature;821;trace:amount_applied0@36000.0;500
Feature;821;trace:area@121.0;100
Feature;821;trace:payment_actual0@35000.0;355
Feature;821;trace:number_parcels@30.0;2400
Feature;821;event:org:resource@019209;2811
Feature;821;event:org:resource@2c546f;1102
Feature;821;trace:penalty_B16@True;111
Feature;821;trace:amount_applied0@11000.0;600
Feature;821;trace:area@29.0;200
Feature;821;trace:payment_actual0@11000.0;610
Feature;821;event:org:resource@023bb9;1266
Feature;821;event:org:resource@439089;987
Feature;821;event:org:resource@dfd1d4;761
Feature;821;event:org:resource@6ad4a6;573
Feature;821;trace:amount_applied0@14000.0;700
Feature;821;trace:area@44.0;300
Feature;821;trace:payment_actual0@14000.0;648
Feature;821;event:org:resource@346f05;960
Feature;821;trace:penalty_B3@True;805
Feature;821;event:concept:name@performed offline;1750
Feature;821;event:concept:name@prepare offline;1755
Feature;821;event:org:resource@4b9a7f;1684
Feature;821;event:org:resource@7850e8;192
Feature;821;event:org:resource@9e088c;1091
Feature;821;event:subprocess@On-Site;2553
Feature;821;trace:amount_applied0@29000.0;600
Feature;821;trace:area@97.0;300
Feature;821;trace:payment_actual0@29000.0;595
Feature;821;trace:penalty_amount0@100.0;1978
Feature;821;event:org:resource@f9fe07;1627
Feature;821;trace:area@98.0;100
Feature;821;event:org:resource@c70c37;69
Feature;821;trace:amount_applied0@10000.0;900
Feature;821;trace:area@32.0;300
Feature;821;trace:payment_actual0@10000.0;858
Feature;821;event:org:resource@354865;554
Feature;821;event:org:resource@5a21a5;1146
Feature;821;event:org:resource@60b0b8;213
Feature;821;event:org:resource@71ffe8;320
Feature;821;event:org:resource@00037f;639
Feature;821;event:org:resource@75992a;1795
Feature;821;event:org:resource@9aaf68;715
Feature;821;trace:penalty_CC@True;1343
Feature;821;trace:amount_applied0@47000.0;300
Feature;821;trace:area@157.0;100
Feature;821;trace:cross_compliance@13.0;4
Feature;821;trace:payment_actual0@41000.0;290
Feature;821;trace:penalty_amount0@5700.0;5
Feature;821;trace:number_parcels@35.0;1900
Feature;821;event:concept:name@revoke withdrawal;206
Feature;821;event:concept:name@withdraw;419
Feature;821;event:org:resource@2ca0ae;2034
Feature;821;event:org:resource@4af6fb;1332
Feature;821;event:org:resource@DP-R;1647
Feature;821;event:org:resource@27cc37;127
Feature;821;event:org:resource@fcb55b;2892
Feature;821;trace:amount_applied0@5000.0;1200
Feature;821;trace:area@14.0;400
Feature;821;event:success@False;18929
Feature;821;trace:amount_applied0@4000.0;1500
Feature;821;trace:payment_actual0@4000.0;1457
Feature;821;trace:amount_applied0@56000.0;300
Feature;821;trace:area@187.0;100
Feature;821;trace:payment_actual0@56000.0;267
Feature;821;trace:penalty_amount0@300.0;506
Feature;821;event:concept:name@approve;522
Feature;821;event:concept:name@begin admissibility check;805
Feature;821;event:concept:name@check admissibility;803
Feature;821;event:org:resource@2ac4ac;647
Feature;821;event:org:resource@bfa0ec;997
Feature;821;event:org:resource@ffb56b;984
Feature;821;event:subprocess@Objection;870
Feature;821;trace:amount_applied0@50000.0;300
Feature;821;trace:area@167.0;100
Feature;821;trace:payment_actual0@50000.0;278
Feature;821;event:concept:name@take original document;886
Feature;821;event:org:resource@af1e1e;1718
Feature;821;trace:area@26.0;300
Feature;821;event:org:resource@0087cf;391
Feature;821;event:org:resource@39be3e;2972
Feature;821;event:org:resource@5e018b;330
Feature;821;event:org:resource@eb7015;668
Feature;821;event:org:resource@815d19;354
Feature;821;trace:penalty_GP1@True;2325
Feature;821;trace:amount_applied0@69000.0;100
Feature;821;trace:area@215.0;100
Feature;821;trace:payment_actual0@67000.0;5
Feature;821;trace:penalty_amount0@1900.0;38
Feature;821;trace:number_parcels@65.0;300
Feature;821;event:org:resource@79367e;897
Feature;821;event:org:resource@d0f451;723
Feature;821;event:org:resource@dd04e2;1118
Feature;821;trace:amount_applied0@52000.0;300
Feature;821;trace:area@172.0;100
Feature;821;trace:payment_actual0@52000.0;288
Feature;821;trace:number_parcels@45.0;1100
Feature;821;event:org:resource@65bf34;216
Feature;821;trace:amount_applied0@23000.0;700
Feature;821;trace:area@78.0;200
Feature;821;trace:payment_actual0@23000.0;653
Feature;821;event:org:resource@237892;365
Feature;821;event:org:resource@5d9e09;1120
Feature;821;event:org:resource@c0aa4a;598
Feature;821;trace:amount_applied0@112000.0;200
Feature;821;trace:area@327.0;100
Feature;821;trace:payment_actual0@112000.0;170
Feature;821;event:org:resource@2dc625;300
Feature;821;trace:amount_applied0@24000.0;600
Feature;821;trace:area@79.0;300
Feature;821;trace:payment_actual0@24000.0;654
Feature;821;trace:amount_applied0@59000.0;300
Feature;821;trace:payment_actual0@58000.0;88
Feature;821;event:org:resource@13c937;394
Feature;821;event:org:resource@7d12ba;2389
Feature;821;event:org:resource@8a1fba;1451
Feature;821;trace:amount_applied0@16000.0;700
Feature;821;trace:area@50.0;200
Feature;821;trace:payment_actual0@16000.0;776
Feature;821;event:org:resource@465290;220
Feature;821;event:org:resource@478c4f;1361
Feature;821;event:org:resource@9e337f;1055
Feature;821;trace:area@76.0;200
Feature;821;trace:amount_applied0@74000.0;100
Feature;821;trace:area@244.0;100
Feature;821;trace:payment_actual0@74000.0;81
Feature;821;trace:penalty_amount0@200.0;742
Feature;821;trace:number_parcels@70.0;200
Feature;821;event:org:resource@0d884f;930
Feature;821;trace:amount_applied0@7000.0;900
Feature;821;trace:area@18.0;600
Feature;821;trace:payment_actual0@7000.0;878
Feature;821;trace:area@95.0;300
Feature;821;trace:area@123.0;200
Feature;821;trace:payment_actual0@36000.0;444
Feature;821;trace:amount_applied0@35000.0;300
Feature;821;trace:area@119.0;100
Feature;821;trace:area@12.0;600
Feature;821;trace:amount_applied0@20000.0;600
Feature;821;trace:area@55.0;100
Feature;821;trace:payment_actual0@20000.0;610
Feature;821;trace:amount_applied0@21000.0;600
Feature;821;trace:area@67.0;300
Feature;821;trace:payment_actual0@21000.0;615
Feature;821;event:org:resource@556da9;1078
Feature;821;trace:area@5.0;1200
Feature;821;trace:cross_compliance@3.0;474
Feature;821;trace:payment_actual0@109000.0;6
Feature;821;trace:penalty_amount0@3300.0;19
Feature;821;trace:number_parcels@75.0;200
Feature;821;event:org:resource@f3e81e;414
Feature;821;trace:amount_applied0@9000.0;700
Feature;821;trace:payment_actual0@9000.0;723
Feature;821;event:org:resource@1c1894;1055
Feature;821;event:org:resource@aea7c8;640
Feature;821;trace:amount_applied0@18000.0;600
Feature;821;trace:area@58.0;100
Feature;821;trace:payment_actual0@18000.0;629
Feature;821;trace:amount_applied0@587000.0;200
Feature;821;trace:area@536.0;100
Feature;821;trace:payment_actual0@587000.0;140
Feature;821;trace:number_parcels@60.0;400
Feature;821;event:org:resource@1bd3b5;1031
Feature;821;event:org:resource@ee28de;1340
Feature;821;trace:area@38.0;200
Feature;821;trace:penalty_amount0@1400.0;63
Feature;821;trace:penalty_B6@True;123
Feature;821;trace:area@33.0;200
Feature;821;event:org:resource@0fe39b;275
Feature;821;trace:cross_compliance@5.0;201
Feature;821;trace:payment_actual0@17000.0;712
Feature;821;trace:penalty_amount0@1100.0;103
Feature;821;trace:amount_applied0@13000.0;600
Feature;821;trace:area@40.0;200
Feature;821;trace:payment_actual0@13000.0;636
Feature;821;event:org:resource@abe845;345
Feature;821;trace:penalty_ABP@True;704
Feature;821;trace:penalty_AGP@True;702
Feature;821;trace:penalty_AUVP@True;829
Feature;821;trace:area@7.0;1000
Feature;821;event:org:resource@46e3af;107
Feature;821;event:org:resource@f6846a;177
Feature;821;trace:area@62.0;300
Feature;821;trace:area@104.0;100
Feature;821;event:org:resource@bc063d;105
Feature;821;event:org:resource@f8da29;126
Feature;821;trace:amount_applied0@34000.0;500
Feature;821;trace:area@102.0;100
Feature;821;trace:payment_actual0@34000.0;473
Feature;821;event:org:resource@3d952e;606
Feature;821;trace:amount_applied0@81000.0;100
Feature;821;trace:area@262.0;100
Feature;821;trace:payment_actual0@81000.0;78
Feature;821;trace:area@228.0;100
Feature;821;trace:payment_actual0@69000.0;99
Feature;821;trace:area@28.0;300
Feature;821;trace:rejected@True;270
Feature;821;trace:amount_applied0@3000.0;1800
Feature;821;trace:area@10.0;600
Feature;821;event:concept:name@refuse;256
Feature;821;trace:payment_actual0@12000.0;817
Feature;821;trace:penalty_amount0@700.0;167
Feature;821;trace:area@20.0;300
Feature;821;trace:cross_compliance@1.0;367
Feature;821;event:org:resource@9765da;414
Feature;821;event:org:resource@b4755f;587
Feature;821;trace:amount_applied0@150000.0;100
Feature;821;trace:area@398.0;100
Feature;821;trace:payment_actual0@139000.0;4
Feature;821;trace:penalty_amount0@4500.0;14
Feature;821;event:concept:name@begin editing from refused;119
Feature;821;event:concept:name@revoke approval;57
Feature;821;event:org:resource@f01c35;457
Feature;821;trace:area@68.0;100
Feature;821;trace:area@196.0;100
Feature;821;event:org:resource@822fb7;266
Feature;821;trace:amount_applied0@17000.0;800
Feature;821;trace:cross_compliance@6.0;17
Feature;821;trace:penalty_amount0@2200.0;40
Feature;821;trace:number_parcels@40.0;1400
Feature;821;trace:area@65.0;300
Feature;821;event:org:resource@483029;450
Feature;821;trace:amount_applied0@42000.0;300
Feature;821;trace:area@144.0;200
Feature;821;trace:payment_actual0@42000.0;272
Feature;821;event:org:resource@7d4a25;785
Feature;821;event:org:resource@e25f20;271
Feature;821;event:org:resource@f48280;254
Feature;821;event:org:resource@c4f075;281
Feature;821;trace:area@61.0;100
Feature;821;trace:area@56.0;300
Feature;821;trace:amount_applied0@48000.0;200
Feature;821;trace:area@147.0;100
Feature;821;trace:payment_actual0@48000.0;200
Feature;821;trace:amount_applied0@33000.0;400
Feature;821;trace:area@111.0;100
Feature;821;trace:payment_actual0@33000.0;420
Feature;821;trace:area@21.0;300
Feature;821;event:org:resource@c39cb2;194
Feature;821;trace:amount_applied0@25000.0;700
Feature;821;trace:area@85.0;200
Feature;821;trace:payment_actual0@25000.0;629
Feature;821;trace:area@16.0;400
Feature;821;trace:area@84.0;200
Feature;821;trace:amount_applied0@37000.0;300
Feature;821;trace:area@127.0;100
Feature;821;trace:payment_actual0@37000.0;315
Feature;821;trace:penalty_amount0@400.0;384
Feature;821;trace:area@25.0;300
Feature;821;event:org:resource@40178c;47
Feature;821;trace:selected_manually@True;323
Feature;821;trace:area@11.0;600
Feature;821;trace:payment_actual0@3000.0;1832
Feature;821;trace:payment_actual0@32000.0;490
Feature;821;trace:penalty_amount0@5500.0;6
Feature;821;event:org:resource@5dd4ec;302
Feature;821;trace:amount_applied0@65000.0;200
Feature;821;trace:area@204.0;100
Feature;821;trace:payment_actual0@65000.0;179
Feature;821;trace:area@75.0;200
Feature;821;trace:area@109.0;100
Feature;821;trace:payment_actual0@149000.0;12
Feature;821;trace:penalty_amount0@1500.0;63
Feature;821;trace:number_parcels@95.0;200
Feature;821;trace:penalty_B4@True;191
Feature;821;trace:payment_actual0@72000.0;9
Feature;821;trace:penalty_amount0@900.0;105
Feature;821;trace:amount_applied0@26000.0;600
Feature;821;trace:area@87.0;200
Feature;821;trace:payment_actual0@26000.0;604
Feature;821;trace:area@15.0;500
Feature;821;trace:area@51.0;300
Feature;821;trace:amount_applied0@92000.0;100
Feature;821;trace:area@287.0;100
Feature;821;trace:payment_actual0@92000.0;92
Feature;821;trace:area@70.0;300
Feature;821;trace:amount_applied0@39000.0;300
Feature;821;trace:payment_actual0@39000.0;305
Feature;821;trace:area@27.0;300
Feature;821;event:org:resource@a5c3dd;385
Feature;821;trace:amount_applied0@27000.0;600
Feature;821;trace:area@90.0;200
Feature;821;trace:payment_actual0@27000.0;599
Feature;821;trace:amount_applied0@15000.0;800
Feature;821;trace:area@48.0;300
Feature;821;trace:payment_actual0@15000.0;807
Feature;821;trace:area@43.0;200
Feature;821;trace:penalty_amount0@600.0;190
Feature;821;event:org:resource@b90293;4549
Feature;821;event:org:resource@82518f;10
Feature;821;trace:cross_compliance@15.0;109
Feature;821;trace:penalty_amount0@6400.0;5
Feature;821;trace:amount_applied0@38000.0;300
Feature;821;trace:area@130.0;100
Feature;821;trace:payment_actual0@38000.0;303
Feature;821;event:org:resource@36c75c;455
Feature;821;trace:penalty_amount0@500.0;278
Feature;821;trace:penalty_amount0@2400.0;34
Feature;821;trace:penalty_amount0@800.0;140
Feature;821;trace:area@45.0;200
Feature;821;trace:area@13.0;500
Feature;821;trace:amount_applied0@31000.0;500
Feature;821;trace:payment_actual0@31000.0;492
Feature;821;trace:payment_actual0@586000.0;18
Feature;821;trace:amount_applied0@22000.0;700
Feature;821;trace:area@73.0;200
Feature;821;trace:penalty_amount0@1000.0;102
Feature;821;trace:area@162.0;100
Feature;821;trace:payment_actual0@47000.0;298
Feature;821;trace:number_parcels@50.0;700
Feature;821;trace:area@22.0;200
Feature;821;trace:area@9.0;700
Feature;821;trace:payment_actual0@584000.0;87
Feature;821;event:org:resource@5bf77a;218
Feature;821;trace:area@72.0;300
Feature;821;trace:payment_actual0@22000.0;751
Feature;821;trace:area@64.0;200
Feature;821;trace:area@88.0;200
Feature;821;event:org:resource@99e048;204
Feature;821;trace:area@116.0;100
Feature;821;trace:area@53.0;200
Feature;821;trace:area@82.0;200
Feature;821;trace:area@31.0;200
Feature;821;trace:amount_applied0@30000.0;500
Feature;821;trace:payment_actual0@30000.0;494
Feature;821;trace:redistribution@False;73
Feature;821;trace:amount_applied0@32000.0;500
Feature;821;trace:area@106.0;100
Feature;821;trace:penalty_JLP1@True;169
Feature;821;trace:penalty_JLP2@True;45
Feature;821;trace:area@101.0;300
Feature;821;trace:amount_applied0@44000.0;300
Feature;821;trace:payment_actual0@44000.0;296
Feature;821;trace:amount_applied0@12000.0;800
Feature;821;trace:area@36.0;300
Feature;821;trace:number_parcels@55.0;500
Feature;821;trace:amount_applied0@41000.0;300
Feature;821;trace:area@140.0;200
Feature;821;trace:area@52.0;200
Feature;821;trace:area@80.0;200
Feature;821;event:org:resource@21612d;89
Feature;821;trace:payment_actual0@57000.0;24
Feature;821;trace:payment_actual0@45000.0;205
Feature;821;trace:penalty_amount0@3000.0;24
Feature;821;trace:payment_actual0@150000.0;69
Feature;821;trace:area@41.0;300
Feature;821;trace:penalty_amount0@1300.0;74
Feature;821;trace:area@23.0;300
Feature;821;event:concept:name@discard;55
Feature;821;trace:area@152.0;100
Feature;821;trace:penalty_amount0@4000.0;41
Feature;821;trace:area@47.0;300
Feature;821;trace:area@113.0;100
Feature;821;trace:area@136.0;100
Feature;821;trace:area@34.0;300
Feature;821;event:org:resource@352a49;136
Feature;821;trace:area@37.0;200
Feature;821;trace:payment_actual0@70000.0;122
Feature;821;trace:penalty_amount0@4700.0;9
Feature;821;trace:amount_applied0@54000.0;300
Feature;821;trace:cross_compliance@9.0;47
Feature;821;trace:amount_applied0@62000.0;300
Feature;821;trace:payment_actual0@62000.0;259
Feature;821;trace:penalty_amount0@1800.0;39
Feature;821;event:org:resource@03b214;824
Feature;821;trace:area@179.0;100
Feature;821;trace:payment_actual0@54000.0;269
Feature;821;event:org:resource@dd12cf;147
Feature;821;trace:payment_actual0@585000.0;10
Feature;821;event:org:resource@fc6177;154
Feature;821;trace:cross_compliance@20.0;36
Feature;821;trace:payment_actual0@583000.0;10
Feature;821;event:org:resource@ef80e3;30
Feature;821;event:org:resource@6d6ae5;98
Feature;821;trace:penalty_amount0@2500.0;28
Feature;821;event:org:resource@5c1b3c;685
Feature;821;event:org:resource@2b8616;321
Feature;821;trace:amount_applied0@45000.0;200
Feature;821;trace:payment_actual0@76000.0;174
Feature;821;trace:penalty_amount0@4800.0;9
Feature;821;trace:cross_compliance@4.0;42
Feature;821;trace:penalty_amount0@1600.0;60
Feature;821;trace:area@91.0;200
Feature;821;trace:area@0.0;209
Feature;821;trace:payment_actual0@60000.0;17
Feature;821;event:org:resource@ee262f;1613
Feature;821;trace:payment_actual0@146000.0;3
Feature;821;trace:penalty_amount0@4100.0;19
Feature;821;trace:payment_actual0@79000.0;16
Feature;821;trace:penalty_amount0@1200.0;97
Feature;821;trace:penalty_amount0@4600.0;3
Feature;821;trace:penalty_amount0@13900.0;3
Feature;821;event:org:resource@fa6437;599
Feature;821;trace:penalty_amount0@4300.0;15
Feature;821;trace:payment_actual0@55000.0;19
Feature;821;trace:payment_actual0@80000.0;11
Feature;821;trace:penalty_amount0@1700.0;38
Feature;821;event:org:resource@b2b786;41
Feature;821;trace:penalty_amount0@7800.0;2
Feature;821;trace:payment_actual0@64000.0;13
Feature;821;trace:payment_actual0@111000.0;16
Feature;821;event:org:resource@796771;147
Feature;821;event:org:resource@2044b6;378
Feature;821;trace:penalty_JLP3@True;12
Feature;821;event:org:resource@7886b1;22
Feature;821;trace:payment_actual0@68000.0;12
Feature;821;trace:penalty_C9@True;26
Feature;821;trace:penalty_amount0@3200.0;16
Feature;821;trace:penalty_amount0@5300.0;3
Feature;821;event:concept:name@cancel offline;131
Feature;821;trace:payment_actual0@51000.0;19
Feature;821;trace:penalty_amount0@2600.0;26
Feature;821;trace:payment_actual0@88000.0;5
Feature;821;trace:cross_compliance@2.0;4
Feature;821;trace:penalty_amount0@6000.0;5
Feature;821;trace:penalty_amount0@2800.0;20
Feature;821;trace:penalty_amount0@7000.0;2
Feature;821;trace:penalty_amount0@5200.0;4
Feature;821;event:org:resource@8d8538;238
Feature;821;event:org:resource@c522f8;106
Feature;821;trace:cross_compliance@21.0;2
Feature;821;trace:penalty_amount0@2700.0;18
Feature;821;event:org:resource@2bf205;69
Feature;821;trace:payment_actual0@63000.0;8
Feature;821;trace:penalty_AJLP@True;61
Feature;821;trace:payment_actual0@61000.0;25
Feature;821;event:org:resource@d4758f;118
Feature;821;trace:payment_actual0@78000.0;6
Feature;821;trace:penalty_amount0@3100.0;15
Feature;821;trace:payment_actual0@90000.0;13
Feature;821;trace:cross_compliance@12.0;19
Feature;821;trace:payment_actual0@53000.0;14
Feature;821;trace:penalty_amount0@13700.0;2
Feature;821;trace:penalty_amount0@2100.0;31
Feature;821;trace:payment_actual0@59000.0;197
Feature;821;trace:payment_actual0@73000.0;13
Feature;821;event:org:resource@d114c8;8
Feature;821;trace:penalty_amount0@3800.0;11
Feature;821;trace:payment_actual0@75000.0;17
Feature;821;trace:penalty_amount0@6700.0;3
Feature;821;trace:payment_actual0@49000.0;104
Feature;821;trace:payment_actual0@145000.0;2
Feature;821;trace:payment_actual0@582000.0;7
Feature;821;trace:penalty_amount0@5100.0;6
Feature;821;trace:penalty_amount0@3400.0;19
Feature;821;event:org:resource@Inspection service;86
Feature;821;event:org:resource@313338;2
Feature;821;trace:penalty_amount0@3900.0;79
Feature;821;event:concept:name@change department;11
Feature;821;event:org:resource@bbd307;74
Feature;821;trace:penalty_amount0@9700.0;2
Feature;821;trace:penalty_amount0@17600.0;2
Feature;821;trace:penalty_amount0@6200.0;6
Feature;821;trace:penalty_amount0@7200.0;3
Feature;821;trace:penalty_amount0@10000.0;2
Feature;821;trace:penalty_amount0@2900.0;22
Feature;821;trace:penalty_amount0@3600.0;9
Feature;821;trace:penalty_amount0@7300.0;3
Feature;821;trace:payment_actual0@86000.0;2
Feature;821;trace:cross_compliance@35.0;10
Feature;821;trace:penalty_amount0@6800.0;2
Feature;821;trace:penalty_amount0@3700.0;16
Feature;821;trace:payment_actual0@581000.0;6
Feature;821;trace:penalty_AVBP@True;2
Feature;821;trace:penalty_AVGP@True;2
Feature;821;trace:penalty_amount0@2000.0;27
Feature;821;trace:payment_actual0@148000.0;6
Feature;821;trace:penalty_amount0@2300.0;19
Feature;821;trace:payment_actual0@89000.0;8
Feature;821;trace:cross_compliance@14.0;7
Feature;821;trace:penalty_amount0@4200.0;8
Feature;821;trace:penalty_amount0@6300.0;2
Feature;821;trace:cross_compliance@23.0;6
Feature;821;trace:payment_actual0@87000.0;3
Feature;821;trace:payment_actual0@110000.0;7
Feature;821;trace:cross_compliance@40.0;3
Feature;821;trace:payment_actual0@46000.0;103
Feature;821;trace:payment_actual0@91000.0;8
Feature;821;event:org:resource@f6f7f1;119
Feature;821;trace:penalty_amount0@10900.0;2
Feature;821;event:org:resource@ba978b;426
Feature;821;trace:penalty_amount0@4400.0;10
Feature;821;trace:payment_actual0@77000.0;3
Feature;821;event:org:resource@91bca0;40
Feature;821;trace:penalty_amount0@7700.0;5
Feature;821;event:org:resource@e99397;50
Feature;821;trace:penalty_amount0@3500.0;11
Feature;821;event:org:resource@07361d;6
Feature;821;trace:payment_actual0@580000.0;5
Feature;821;trace:penalty_amount0@5400.0;5
Feature;821;trace:penalty_amount0@6100.0;4
Feature;821;trace:payment_actual0@93000.0;166
Feature;821;trace:penalty_amount0@19100.0;2
Feature;821;trace:penalty_amount0@9800.0;2
Feature;821;trace:payment_actual0@143000.0;2
Feature;821;trace:payment_actual0@147000.0;3
Feature;821;trace:penalty_amount0@8200.0;5
Feature;821;trace:penalty_amount0@4900.0;12
Feature;821;trace:cross_compliance@7.0;7
Feature;821;trace:payment_actual0@66000.0;88
Feature;821;event:org:resource@scheduler;14341
