approach;total_size;partition;partition_size
Feature;526;event:CRP@131.0;15
Feature;526;event:CRP@137.0;11
Feature;526;event:CRP@154.0;10
Feature;526;event:CRP@180.0;9
Feature;526;event:CRP@209.0;9
Feature;526;event:CRP@222.0;3
Feature;526;event:CRP@249.0;3
Feature;526;event:CRP@287.0;2
Feature;526;event:CRP@56.0;11
Feature;526;event:Diagnose@LA;7
Feature;526;event:CRP@114.0;9
Feature;526;event:CRP@159.0;11
Feature;526;event:Diagnose@MA;3
Feature;526;event:CRP@106.0;14
Feature;526;event:CRP@24.0;17
Feature;526;event:CRP@95.0;14
Feature;526;event:CRP@370.0;3
Feature;526;event:Leucocytes@46.0;2
Feature;526;event:CRP@134.0;11
Feature;526;event:CRP@161.0;5
Feature;526;event:CRP@29.0;16
Feature;526;event:CRP@99.0;7
Feature;526;event:CRP@281.0;5
Feature;526;event:CRP@105.0;9
Feature;526;event:CRP@261.0;4
Feature;526;event:CRP@273.0;3
Feature;526;event:concept:name@Release E;6
Feature;526;event:CRP@123.0;11
Feature;526;event:CRP@194.0;6
Feature;526;event:CRP@234.0;2
Feature;526;event:CRP@271.0;5
Feature;526;event:CRP@325.0;2
Feature;526;event:Age@25.0;19
Feature;526;event:Leucocytes@34.0;5
Feature;526;event:CRP@191.0;6
Feature;526;event:CRP@231.0;5
Feature;526;event:CRP@275.0;6
Feature;526;event:CRP@279.0;3
Feature;526;event:CRP@314.0;2
Feature;526;event:CRP@384.0;2
Feature;526;event:CRP@115.0;9
Feature;526;event:CRP@122.0;14
Feature;526;event:Diagnose@UA;2
Feature;526;event:Diagnose@VA;4
Feature;526;event:Diagnose@WA;2
Feature;526;event:CRP@179.0;10
Feature;526;event:CRP@90.0;11
Feature;526;event:Leucocytes@40.0;3
Feature;526;event:LacticAcid@14.0;2
Feature;526;event:Diagnose@XA;2
Feature;526;event:CRP@181.0;7
Feature;526;event:CRP@162.0;6
Feature;526;event:Diagnose@YA;2
Feature;526;event:CRP@53.0;16
Feature;526;event:CRP@86.0;11
Feature;526;event:Diagnose@ZA;4
Feature;526;event:CRP@72.0;16
Feature;526;event:CRP@331.0;2
Feature;526;event:CRP@101.0;5
Feature;526;event:Leucocytes@41.0;3
Feature;526;event:Leucocytes@42.0;2
Feature;526;event:CRP@141.0;13
Feature;526;event:Diagnose@AB;2
Feature;526;event:CRP@164.0;7
Feature;526;event:CRP@158.0;11
Feature;526;event:CRP@206.0;7
Feature;526;event:Diagnose@BB;8
Feature;526;event:CRP@129.0;14
Feature;526;event:CRP@251.0;2
Feature;526;event:CRP@215.0;11
Feature;526;event:CRP@41.0;18
Feature;526;event:CRP@254.0;5
Feature;526;event:CRP@200.0;4
Feature;526;event:CRP@306.0;3
Feature;526;event:CRP@301.0;2
Feature;526;event:DiagnosticLiquor@True;5
Feature;526;event:CRP@173.0;3
Feature;526;event:CRP@217.0;7
Feature;526;event:CRP@132.0;10
Feature;526;event:Diagnose@EB;2
Feature;526;event:CRP@172.0;6
Feature;526;event:CRP@317.0;2
Feature;526;event:CRP@321.0;2
Feature;526;event:CRP@183.0;8
Feature;526;event:CRP@322.0;2
Feature;526;event:CRP@104.0;11
Feature;526;event:CRP@168.0;9
Feature;526;event:Diagnose@GB;7
Feature;526;event:CRP@160.0;5
Feature;526;event:CRP@232.0;4
Feature;526;event:CRP@278.0;2
Feature;526;event:CRP@202.0;6
Feature;526;event:CRP@257.0;2
Feature;526;event:CRP@276.0;3
Feature;526;event:Diagnose@LB;2
Feature;526;event:CRP@204.0;5
Feature;526;event:CRP@212.0;5
Feature;526;event:CRP@220.0;3
Feature;526;event:CRP@235.0;5
Feature;526;event:CRP@291.0;2
Feature;526;event:CRP@167.0;4
Feature;526;event:CRP@258.0;3
Feature;526;event:CRP@96.0;7
Feature;526;event:CRP@250.0;4
Feature;526;event:Diagnose@OB;4
Feature;526;event:Leucocytes@122.0;2
Feature;526;event:CRP@303.0;2
Feature;526;event:CRP@92.0;12
Feature;526;event:CRP@241.0;2
Feature;526;event:Diagnose@RB;4
Feature;526;event:Diagnose@SB;2
Feature;526;event:CRP@268.0;4
Feature;526;event:Diagnose@TB;4
Feature;526;event:Diagnose@VB;5
Feature;526;event:CRP@252.0;4
Feature;526;event:CRP@307.0;3
Feature;526;event:Diagnose@ZB;3
Feature;526;event:Diagnose@AC;3
Feature;526;event:CRP@224.0;2
Feature;526;event:CRP@236.0;4
Feature;526;event:CRP@298.0;3
Feature;526;event:CRP@300.0;3
Feature;526;event:CRP@45.0;12
Feature;526;event:Diagnose@IC;5
Feature;526;event:Diagnose@JC;5
Feature;526;event:Diagnose@KC;2
Feature;526;event:Diagnose@LC;3
Feature;526;event:CRP@193.0;3
Feature;526;event:Diagnose@PC;2
Feature;526;event:Diagnose@RC;5
Feature;526;event:Diagnose@UC;3
Feature;526;event:CRP@304.0;3
Feature;526;event:Diagnose@WC;2
Feature;526;event:CRP@274.0;5
Feature;526;event:CRP@349.0;2
Feature;526;event:CRP@305.0;3
Feature;526;event:Diagnose@ZC;2
Feature;526;event:CRP@246.0;3
Feature;526;event:CRP@266.0;4
Feature;526;event:CRP@221.0;3
Feature;526;event:CRP@308.0;2
Feature;526;event:CRP@260.0;4
Feature;526;event:Diagnose@ED;2
Feature;526;event:CRP@290.0;3
Feature;526;event:CRP@342.0;2
Feature;526;event:CRP@363.0;2
Feature;526;event:Diagnose@HD;2
Feature;526;event:CRP@296.0;2
Feature;526;event:Diagnose@MD;3
Feature;526;event:CRP@352.0;2
Feature;526;event:CRP@227.0;2
Feature;526;event:CRP@267.0;3
Feature;526;event:CRP@277.0;2
Feature;526;event:CRP@323.0;2
Sequence;256;('ER Sepsis Triage', 'IV Liquid', 'IV Antibiotics');177
Sequence;256;('LacticAcid', 'ER Triage', 'ER Sepsis Triage');14
Sequence;256;('CRP', 'CRP', 'Leucocytes');166
Sequence;256;('Leucocytes', 'CRP', 'Leucocytes');252
Sequence;256;('CRP', 'LacticAcid', 'ER Triage');9
Sequence;256;('Leucocytes', 'CRP', 'CRP');181
Sequence;256;('Leucocytes', 'CRP', 'LacticAcid');274
Sequence;256;('IV Antibiotics', 'Admission NC', 'CRP');150
Sequence;256;('CRP', 'Leucocytes', 'Leucocytes');177
Sequence;256;('Leucocytes', 'Leucocytes', 'CRP');194
Sequence;256;('Admission NC', 'CRP', 'Leucocytes');271
Sequence;256;('CRP', 'Leucocytes', 'Release A');196
Sequence;256;('CRP', 'Leucocytes', 'CRP');255
Sequence;256;('ER Registration', 'Leucocytes', 'CRP');14
Sequence;256;('ER Triage', 'ER Sepsis Triage', 'IV Liquid');207
Sequence;256;('IV Liquid', 'IV Antibiotics', 'Admission NC');308
Sequence;256;('CRP', 'LacticAcid', 'Leucocytes');211
Sequence;256;('Admission NC', 'CRP', 'CRP');29
Sequence;256;('Leucocytes', 'ER Sepsis Triage', 'IV Liquid');25
Sequence;256;('CRP', 'CRP', 'Release A');35
Sequence;256;('ER Triage', 'CRP', 'LacticAcid');20
Sequence;256;('LacticAcid', 'Leucocytes', 'ER Sepsis Triage');18
Sequence;256;('ER Registration', 'ER Triage', 'CRP');45
Sequence;256;('Leucocytes', 'CRP', 'Release A');253
Sequence;256;('Leucocytes', 'CRP', 'IV Liquid');65
Sequence;256;('CRP', 'IV Liquid', 'IV Antibiotics');105
Sequence;256;('ER Registration', 'ER Triage', 'ER Sepsis Triage');846
Sequence;256;('Admission NC', 'Leucocytes', 'CRP');318
Sequence;256;('IV Antibiotics', 'Admission NC', 'Admission NC');97
Sequence;256;('ER Triage', 'ER Sepsis Triage', 'Leucocytes');268
Sequence;256;('Admission NC', 'Admission NC', 'Leucocytes');66
Sequence;256;('ER Sepsis Triage', 'Leucocytes', 'CRP');193
Sequence;256;('ER Triage', 'ER Sepsis Triage', 'CRP');190
Sequence;256;('IV Antibiotics', 'Admission NC', 'Leucocytes');161
Sequence;256;('CRP', 'Release A', 'Return ER');137
Sequence;256;('Leucocytes', 'IV Liquid', 'IV Antibiotics');94
Sequence;256;('ER Sepsis Triage', 'CRP', 'LacticAcid');84
Sequence;256;('LacticAcid', 'Leucocytes', 'IV Liquid');59
Sequence;256;('IV Liquid', 'CRP', 'Leucocytes');31
Sequence;256;('ER Sepsis Triage', 'IV Liquid', 'CRP');35
Sequence;256;('Leucocytes', 'LacticAcid', 'IV Antibiotics');39
Sequence;256;('CRP', 'Leucocytes', 'LacticAcid');181
Sequence;256;('CRP', 'LacticAcid', 'IV Antibiotics');47
Sequence;256;('IV Liquid', 'Admission NC', 'Release A');3
Sequence;256;('IV Antibiotics', 'IV Liquid', 'Admission NC');45
Sequence;256;('LacticAcid', 'IV Antibiotics', 'IV Liquid');19
Sequence;256;('IV Liquid', 'IV Antibiotics', 'LacticAcid');21
Sequence;256;('Leucocytes', 'Admission NC', 'Leucocytes');60
Sequence;256;('IV Antibiotics', 'LacticAcid', 'CRP');6
Sequence;256;('LacticAcid', 'CRP', 'Leucocytes');159
Sequence;256;('CRP', 'Leucocytes', 'Admission NC');96
Sequence;256;('Leucocytes', 'CRP', 'Admission NC');136
Sequence;256;('CRP', 'Admission NC', 'Release B');5
Sequence;256;('LacticAcid', 'Leucocytes', 'Admission IC');9
Sequence;256;('ER Triage', 'ER Sepsis Triage', 'IV Antibiotics');47
Sequence;256;('IV Antibiotics', 'Leucocytes', 'CRP');28
Sequence;256;('CRP', 'LacticAcid', 'Admission NC');59
Sequence;256;('LacticAcid', 'Admission NC', 'Leucocytes');27
Sequence;256;('ER Sepsis Triage', 'IV Antibiotics', 'Leucocytes');8
Sequence;256;('Admission NC', 'CRP', 'Release A');31
Sequence;256;('LacticAcid', 'IV Liquid', 'IV Antibiotics');118
Sequence;256;('Leucocytes', 'LacticAcid', 'IV Liquid');36
Sequence;256;('ER Sepsis Triage', 'CRP', 'Leucocytes');107
Sequence;256;('Admission NC', 'IV Liquid', 'CRP');8
Sequence;256;('CRP', 'Admission NC', 'IV Liquid');3
Sequence;256;('ER Sepsis Triage', 'LacticAcid', 'CRP');63
Sequence;256;('Leucocytes', 'Release A', 'Return ER');95
Sequence;256;('CRP', 'Leucocytes', 'IV Antibiotics');38
Sequence;256;('Leucocytes', 'IV Antibiotics', 'Admission NC');55
Sequence;256;('ER Triage', 'ER Sepsis Triage', 'LacticAcid');147
Sequence;256;('Leucocytes', 'Leucocytes', 'Leucocytes');45
Sequence;256;('CRP', 'LacticAcid', 'IV Liquid');82
Sequence;256;('Admission NC', 'Leucocytes', 'Leucocytes');33
Sequence;256;('IV Antibiotics', 'CRP', 'Leucocytes');28
Sequence;256;('Admission NC', 'IV Liquid', 'IV Antibiotics');4
Sequence;256;('IV Liquid', 'IV Antibiotics', 'CRP');36
Sequence;256;('LacticAcid', 'Leucocytes', 'Admission NC');30
Sequence;256;('Admission NC', 'Release A', 'Return ER');43
Sequence;256;('IV Antibiotics', 'Admission NC', 'Release A');28
Sequence;256;('LacticAcid', 'IV Antibiotics', 'Admission NC');57
Sequence;256;('Admission NC', 'Admission IC', 'LacticAcid');9
Sequence;256;('Admission IC', 'LacticAcid', 'Leucocytes');21
Sequence;256;('IV Antibiotics', 'Admission NC', 'Admission IC');9
Sequence;256;('LacticAcid', 'Leucocytes', 'CRP');213
Sequence;256;('CRP', 'Admission NC', 'Leucocytes');65
Sequence;256;('IV Antibiotics', 'CRP', 'LacticAcid');18
Sequence;256;('Leucocytes', 'CRP', 'Release B');17
Sequence;256;('ER Sepsis Triage', 'Leucocytes', 'Admission NC');6
Sequence;256;('IV Liquid', 'Leucocytes', 'LacticAcid');13
Sequence;256;('ER Sepsis Triage', 'IV Liquid', 'Leucocytes');41
Sequence;256;('Leucocytes', 'LacticAcid', 'CRP');167
Sequence;256;('LacticAcid', 'LacticAcid', 'CRP');27
Sequence;256;('CRP', 'IV Antibiotics', 'Admission IC');10
Sequence;256;('Leucocytes', 'LacticAcid', 'LacticAcid');25
Sequence;256;('IV Antibiotics', 'Admission IC', 'LacticAcid');19
Sequence;256;('LacticAcid', 'CRP', 'IV Antibiotics');29
Sequence;256;('Admission IC', 'LacticAcid', 'CRP');16
Sequence;256;('CRP', 'IV Antibiotics', 'Admission NC');47
Sequence;256;('IV Liquid', 'LacticAcid', 'Leucocytes');21
Sequence;256;('ER Sepsis Triage', 'IV Liquid', 'LacticAcid');32
Sequence;256;('Leucocytes', 'CRP', 'IV Antibiotics');52
Sequence;256;('CRP', 'LacticAcid', 'ER Sepsis Triage');28
Sequence;256;('LacticAcid', 'Admission NC', 'CRP');31
Sequence;256;('ER Registration', 'ER Triage', 'Leucocytes');45
Sequence;256;('ER Triage', 'Leucocytes', 'CRP');40
Sequence;256;('ER Sepsis Triage', 'IV Antibiotics', 'CRP');10
Sequence;256;('Admission NC', 'Admission NC', 'Release A');20
Sequence;256;('LacticAcid', 'CRP', 'Admission IC');4
Sequence;256;('ER Sepsis Triage', 'Leucocytes', 'LacticAcid');67
Sequence;256;('LacticAcid', 'CRP', 'IV Liquid');46
Sequence;256;('Leucocytes', 'Admission NC', 'CRP');47
Sequence;256;('Leucocytes', 'CRP', 'Release C');11
Sequence;256;('IV Antibiotics', 'Admission NC', 'IV Liquid');11
Sequence;256;('Admission NC', 'IV Liquid', 'Leucocytes');6
Sequence;256;('IV Liquid', 'Leucocytes', 'CRP');41
Sequence;256;('Leucocytes', 'LacticAcid', 'Admission NC');35
Sequence;256;('LacticAcid', 'ER Sepsis Triage', 'Admission NC');4
Sequence;256;('IV Liquid', 'ER Registration', 'ER Triage');15
Sequence;256;('CRP', 'Admission NC', 'Admission NC');28
Sequence;256;('LacticAcid', 'CRP', 'Admission NC');38
Sequence;256;('Admission NC', 'CRP', 'LacticAcid');9
